radius_cm,jrad_re_N0,jrad_im_N0,jrad_re_N1,jrad_im_N1,jrad_re_N2,jrad_im_N2,jrad_re_N3,jrad_im_N3,jrad_re_N4,jrad_im_N4,jrad_re_N5,jrad_im_N5,jrad_re_N6,jrad_im_N6
  3.3306105685759704E+01, -2.0865686579248644E+06,  1.4276930413426980E+06,  1.5764542461573929E+06,  1.6098605264537036E+05,  1.7515903514325656E+06,  4.2251409692268819E+04,  1.7633086623297073E+06,  3.4088131833717227E+04,  1.7639132176217996E+06,  3.3673609080173075E+04,  1.7639373707205281E+06,  3.3657319596581161E+04,  1.7639381752960831E+06,  3.3656781882971525E+04
  3.3415289883079716E+01, -7.3430237682494484E+06,  1.1023628415289670E+07, -3.8415674031297620E+06,  9.8417905788953677E+06, -3.6818426446204167E+06,  9.7315286396742053E+06, -3.6711142685178444E+06,  9.7239128762326948E+06, -3.6705572007020973E+06,  9.7235247393971756E+06, -3.6705348796696365E+06,  9.7235094656690694E+06, -3.6705341339278352E+06,  9.7235089606878720E+06
  3.3524474080399720E+01, -1.1346160395942567E+07,  1.9397912892816253E+07, -8.1482406859805658E+06,  1.8390040942837015E+07, -8.0173209102534717E+06,  1.8297667013404299E+07, -8.0085060886176713E+06,  1.8291239109326072E+07, -8.0080434838611353E+06,  1.8290909621605773E+07, -8.0080248697240949E+06,  1.8290896637882791E+07, -8.0080242454126365E+06,  1.8290896207900479E+07
  3.3633658277719732E+01, -1.3368249434782652E+07,  2.5593426114209332E+07, -1.0591049680558177E+07,  2.4833618366971113E+07, -1.0499886977199165E+07,  2.4767044026629619E+07, -1.0493748507410647E+07,  2.4762345141538575E+07, -1.0493419430526050E+07,  2.4762101672369525E+07, -1.0493406086547490E+07,  2.4762092060712099E+07, -1.0493405636020148E+07,  2.4762091741673648E+07
  3.3742842475039737E+01, -1.2919427949459020E+07,  2.8861502523065649E+07, -1.0645369672652667E+07,  2.8402082810418390E+07, -1.0601487104617823E+07,  2.8367022795013882E+07, -1.0598560508487176E+07,  2.8364448519218184E+07, -1.0598392770712119E+07,  2.8364311220683619E+07, -1.0598385815376334E+07,  2.8364305779082030E+07, -1.0598385576288246E+07,  2.8364305597555995E+07
  3.3852026672359749E+01, -9.8171650736754425E+06,  2.8736405782471217E+07, -8.0870047807869092E+06,  2.8603057251663994E+07, -8.0938061696551032E+06,  2.8602525023096666E+07, -8.0943527124998719E+06,  2.8602291412275411E+07, -8.0943604888127968E+06,  2.8602271509995881E+07, -8.0943605005735867E+06,  2.8602270684713706E+07, -8.0943604926809780E+06,  2.8602270655638073E+07
  3.3961210869679761E+01, -4.2252223217818961E+06,  2.5084224620645404E+07, -3.0348557155562826E+06,  2.5273473537470572E+07, -3.0912942807342187E+06,  2.5307509576553479E+07, -3.0952775477164835E+06,  2.5309634528651357E+07, -3.0954601590685435E+06,  2.5309733373378485E+07, -3.0954671272212751E+06,  2.5309737221306819E+07, -3.0954673507108204E+06,  2.5309737346728332E+07
  3.4070395066999765E+01,  3.3422820190345943E+06,  1.8121625133953195E+07,  4.0409982917698622E+06,  1.8600910052516803E+07,  3.9403619354820028E+06,  1.8666566861232907E+07,  3.9332738474990577E+06,  1.8670868442287497E+07,  3.9329318822057545E+06,  1.8671077403217297E+07,  3.9329185563228354E+06,  1.8671085587452475E+07,  3.9329181208323017E+06,  1.8671085856367067E+07
  3.4179579264319777E+01,  1.2052889295666873E+07,  8.4025511678744964E+06,  1.2347342399776332E+07,  9.1128870030297954E+06,  1.2211896173389353E+07,  9.2044726618053056E+06,  1.2202302995741166E+07,  9.2105845321236458E+06,  1.2201830642089002E+07,  9.2108857407888789E+06,  1.2201812093677603E+07,  9.2108975597964767E+06,  1.2201811483461849E+07,  9.2108979491039775E+06
  3.4288763461639789E+01,  2.0821741680918999E+07, -3.2262032316004559E+06,  2.0830189686269522E+07, -2.3651840011471212E+06,  2.0672476772331081E+07, -2.2556241972785722E+06,  2.0661195277977310E+07, -2.2482215738234650E+06,  2.0660632515688613E+07, -2.2478536931315083E+06,  2.0660610319279082E+07, -2.2478392452827562E+06,  2.0660609586308077E+07, -2.2478387687921859E+06
