radius [cm]; Re(k1); Im(k1); Re(k2); Re(k2)
9.444444; 1.661942; 2.820597; -1.661942; -2.820597
10.088889; 1.685647; 2.911566; -1.685647; -2.911566
11.377778; 1.716127; 3.066113; -1.716127; -3.066113
12.666667; 1.734226; 3.191152; -1.734226; -3.191152
13.955556; 1.746641; 3.293209; -1.746641; -3.293209
15.244444; 1.756857; 3.376982; -1.756857; -3.376982
15.888889; 1.761778; 3.413103; -1.761778; -3.413103
17.177778; 1.772032; 3.475447; -1.772032; -3.475447
18.466667; 1.783514; 3.526221; -1.783514; -3.526221
19.755556; 1.796785; 3.566876; -1.796785; -3.566876
21.044444; 1.812235; 3.598404; -1.812235; -3.598404
21.688889; 1.820872; 3.610952; -1.820872; -3.610952
22.977778; 1.840132; 3.629842; -1.840132; -3.629842
24.266667; 1.862239; 3.640529; -1.862239; -3.640529
25.555556; 1.887422; 3.642814; -1.887422; -3.642814
26.844444; 1.915911; 3.636144; -1.915911; -3.636144
28.133333; 1.947929; 3.619548; -1.947929; -3.619548
28.777778; 1.965331; 3.607094; -1.965331; -3.607094
30.066667; 2.003027; 3.572646; -2.003027; -3.572646
31.355556; 2.044630; 3.523184; -2.044630; -3.523184
32.644444; 2.089959; 3.454896; -2.089959; -3.454896
33.933333; 2.138273; 3.362242; -2.138273; -3.362242
34.577778; 2.163012; 3.304367; -2.163012; -3.304367
35.866667; 2.211342; 3.158704; -2.211342; -3.158704
37.155556; 2.251650; 2.960162; -2.251650; -2.960162
38.444444; 2.267350; 2.686463; -2.267350; -2.686463
39.733333; 2.219359; 2.305951; -2.219359; -2.305951
41.022222; 2.011974; 1.783219; -2.011974; -1.783219
41.666667; 1.780965; 1.466746; -1.780965; -1.466746
42.955556; 0.670806; 0.952019; -0.670806; -0.952019
44.244444; 0.114704; -1.871439; -0.114704; 1.871439
45.533333; 0.363955; -2.578611; -0.363955; 2.578611
47.466667; 1.236883; 1.756718; -1.236883; -1.756718
48.755556; 0.193835; 1.806504; -0.193835; -1.806504
50.044444; 1.917164; -0.589777; -1.917164; 0.589777
51.333333; 3.278567; -1.867585; -3.278567; 1.867585
52.622222; 3.828305; -3.033133; -3.828305; 3.033133
53.911111; 4.101399; -4.004827; -4.101399; 4.004827
54.555556; 4.202105; -4.438689; -4.202105; 4.438689
55.844444; 4.392371; -5.249235; -4.392371; 5.249235
57.133333; 4.609556; -6.035574; -4.609556; 6.035574
58.422222; 4.888571; -6.852207; -4.888571; 6.852207
60.355556; 5.505074; -8.260253; -5.505074; 8.260253
61.644444; 6.138892; -9.441514; -6.138892; 9.441514
64.222222; 8.759028; -13.299477; -8.759028; 13.299477
66.800000; 39.110610; -36.875039; -39.110610; 36.875039
