radius [cm]; Re(k1); Im(k1); Re(k2); Re(k2)
9.444444; 1.671212; 2.860333; -1.671212; -2.860333
9.444444; 1.671212; 2.860333; -1.671212; -2.860333
10.088889; 1.694281; 2.955214; -1.694281; -2.955214
10.733333; 1.710984; 3.040496; -1.710984; -3.040496
11.377778; 1.723301; 3.117355; -1.723301; -3.117355
12.022222; 1.732599; 3.186831; -1.732599; -3.186831
12.666667; 1.739839; 3.249824; -1.739839; -3.249824
13.311111; 1.745705; 3.307096; -1.745705; -3.307096
13.955556; 1.750697; 3.359298; -1.750697; -3.359298
14.600000; 1.755178; 3.406980; -1.755178; -3.406980
14.600000; 1.755178; 3.406980; -1.755178; -3.406980
15.244444; 1.759423; 3.450607; -1.759423; -3.450607
15.888889; 1.763638; 3.490577; -1.763638; -3.490577
16.533333; 1.767983; 3.527227; -1.767983; -3.527227
17.177778; 1.772583; 3.560845; -1.772583; -3.560845
17.822222; 1.777537; 3.591676; -1.777537; -3.591676
18.466667; 1.782926; 3.619928; -1.782926; -3.619928
19.111111; 1.788820; 3.645777; -1.788820; -3.645777
19.755556; 1.795275; 3.669372; -1.795275; -3.669372
20.400000; 1.802343; 3.690836; -1.802343; -3.690836
20.400000; 1.802343; 3.690836; -1.802343; -3.690836
21.044444; 1.810074; 3.710268; -1.810074; -3.710268
21.688889; 1.818510; 3.727746; -1.818510; -3.727746
22.333333; 1.827696; 3.743329; -1.827696; -3.743329
22.977778; 1.837676; 3.757055; -1.837676; -3.757055
23.622222; 1.848495; 3.768941; -1.848495; -3.768941
24.266667; 1.860199; 3.778988; -1.860199; -3.778988
24.911111; 1.872839; 3.787171; -1.872839; -3.787171
25.555556; 1.886468; 3.793448; -1.886468; -3.793448
26.200000; 1.901143; 3.797748; -1.901143; -3.797748
26.200000; 1.901143; 3.797748; -1.901143; -3.797748
26.844444; 1.916927; 3.799977; -1.916927; -3.799977
27.488889; 1.933887; 3.800008; -1.933887; -3.800008
28.133333; 1.952097; 3.797680; -1.952097; -3.797680
28.777778; 1.971638; 3.792801; -1.971638; -3.792801
29.422222; 1.992597; 3.785122; -1.992597; -3.785122
30.066667; 2.015062; 3.774335; -2.015062; -3.774335
30.711111; 2.039127; 3.760059; -2.039127; -3.760059
31.355556; 2.064883; 3.741828; -2.064883; -3.741828
32.000000; 2.092414; 3.719064; -2.092414; -3.719064
32.000000; 2.092414; 3.719064; -2.092414; -3.719064
32.644444; 2.121787; 3.691056; -2.121787; -3.691056
33.288889; 2.153038; 3.656921; -2.153038; -3.656921
33.933333; 2.186137; 3.615564; -2.186137; -3.615564
34.577778; 2.220955; 3.565614; -2.220955; -3.565614
35.222222; 2.257185; 3.505363; -2.257185; -3.505363
35.866667; 2.294243; 3.432674; -2.294243; -3.432674
36.511111; 2.331093; 3.344891; -2.331093; -3.344891
37.155556; 2.365992; 3.238741; -2.365992; -3.238741
37.800000; 2.396103; 3.110266; -2.396103; -3.110266
37.800000; 2.396103; 3.110266; -2.396103; -3.110266
38.444444; 2.416917; 2.954810; -2.416917; -2.954810
39.088889; 2.421416; 2.767150; -2.421416; -2.767150
39.733333; 2.398829; 2.541877; -2.398829; -2.541877
40.377778; 2.332683; 2.274252; -2.332683; -2.274252
41.022222; 2.197415; 1.962123; -2.197415; -1.962123
41.666667; 1.951474; 1.610702; -1.951474; -1.610702
42.311111; 1.519097; 1.248678; -1.519097; -1.248678
42.955556; 0.738922; 1.043668; -0.738922; -1.043668
43.600000; 0.017130; 1.562293; -0.017130; -1.562293
43.600000; 0.017130; 1.562293; -0.017130; -1.562293
44.244444; 0.127269; -2.074539; -0.127269; 2.074539
44.888889; 0.180286; -2.432439; -0.180286; 2.432439
45.533333; 0.887856; -2.864866; -0.887856; 2.864866
46.177778; 1.378711; -1.756558; -1.378711; 1.756558
47.466667; 1.333900; 1.709399; -1.333900; -1.709399
48.111111; 1.084696; 2.421680; -1.084696; -2.421680
48.755556; 0.275958; 2.165638; -0.275958; -2.165638
49.400000; 0.078766; 0.663699; -0.078766; -0.663699
49.400000; 0.078766; 0.663699; -0.078766; -0.663699
50.044444; 2.180233; -0.645475; -2.180233; 0.645475
50.688889; 3.155898; -1.325876; -3.155898; 1.325876
51.333333; 3.788826; -2.039015; -3.788826; 2.039015
51.977778; 4.224519; -2.729814; -4.224519; 2.729814
52.622222; 4.541381; -3.380941; -4.541381; 3.380941
53.266667; 4.787752; -3.992709; -4.787752; 3.992709
53.911111; 4.994533; -4.572195; -4.994533; 4.572195
54.555556; 5.182198; -5.128444; -5.182198; 5.128444
55.200000; 5.365100; -5.670620; -5.365100; 5.670620
55.200000; 5.365100; -5.670620; -5.365100; 5.670620
55.844444; 5.554196; -6.207479; -5.554196; 6.207479
56.488889; 5.758844; -6.747409; -5.758844; 6.747409
57.133333; 5.988161; -7.298669; -5.988161; 7.298669
57.777778; 6.252281; -7.869702; -6.252281; 7.869702
65.511111; 6.372528; 17.823494; -6.372528; -17.823494
66.800000; 12.359188; 38.917400; -12.359188; -38.917400
