radius [cm]; Re(k1); Im(k1); Re(k2); Re(k2)
9.444444; 1.664535; 2.886469; -1.664535; -2.886469
9.444444; 1.664535; 2.886469; -1.664535; -2.886469
10.088889; 1.686974; 2.980688; -1.686974; -2.980688
10.733333; 1.703174; 3.065491; -1.703174; -3.065491
11.377778; 1.715069; 3.142028; -1.715069; -3.142028
12.022222; 1.723992; 3.211320; -1.723992; -3.211320
12.666667; 1.730885; 3.274249; -1.730885; -3.274249
13.311111; 1.736416; 3.331567; -1.736416; -3.331567
13.955556; 1.741072; 3.383915; -1.741072; -3.383915
14.600000; 1.745210; 3.431834; -1.745210; -3.431834
14.600000; 1.745210; 3.431834; -1.745210; -3.431834
15.244444; 1.749096; 3.475789; -1.749096; -3.475789
15.888889; 1.752933; 3.516172; -1.752933; -3.516172
16.533333; 1.756874; 3.553320; -1.756874; -3.553320
17.177778; 1.761040; 3.587521; -1.761040; -3.587521
17.822222; 1.765526; 3.619021; -1.765526; -3.619021
18.466667; 1.770408; 3.648031; -1.770408; -3.648031
19.111111; 1.775750; 3.674732; -1.775750; -3.674732
19.755556; 1.781605; 3.699277; -1.781605; -3.699277
20.400000; 1.788019; 3.721794; -1.788019; -3.721794
20.400000; 1.788019; 3.721794; -1.788019; -3.721794
21.044444; 1.795034; 3.742392; -1.795034; -3.742392
21.688889; 1.802687; 3.761156; -1.802687; -3.761156
22.333333; 1.811016; 3.778157; -1.811016; -3.778157
22.977778; 1.820055; 3.793444; -1.820055; -3.793444
23.622222; 1.829839; 3.807051; -1.829839; -3.807051
24.266667; 1.840405; 3.818993; -1.840405; -3.818993
24.911111; 1.851788; 3.829270; -1.851788; -3.829270
25.555556; 1.864028; 3.837859; -1.864028; -3.837859
26.200000; 1.877166; 3.844720; -1.877166; -3.844720
26.200000; 1.877166; 3.844720; -1.877166; -3.844720
26.844444; 1.891242; 3.849792; -1.891242; -3.849792
27.488889; 1.906304; 3.852987; -1.906304; -3.852987
28.133333; 1.922397; 3.854195; -1.922397; -3.854195
28.777778; 1.939572; 3.853279; -1.939572; -3.853279
29.422222; 1.957880; 3.850063; -1.957880; -3.850063
30.066667; 1.977368; 3.844325; -1.977368; -3.844325
30.711111; 1.998082; 3.835794; -1.998082; -3.835794
31.355556; 2.020057; 3.824135; -2.020057; -3.824135
32.000000; 2.043315; 3.808945; -2.043315; -3.808945
32.000000; 2.043315; 3.808945; -2.043315; -3.808945
32.644444; 2.067856; 3.789727; -2.067856; -3.789727
33.288889; 2.093639; 3.765880; -2.093639; -3.765880
33.933333; 2.120562; 3.736666; -2.120562; -3.736666
34.577778; 2.148428; 3.701191; -2.148428; -3.701191
35.222222; 2.176895; 3.658367; -2.176895; -3.658367
35.866667; 2.205397; 3.606882; -2.205397; -3.606882
36.511111; 2.233035; 3.545169; -2.233035; -3.545169
37.155556; 2.258409; 3.471399; -2.258409; -3.471399
37.800000; 2.279381; 3.383513; -2.279381; -3.383513
37.800000; 2.279381; 3.383513; -2.279381; -3.383513
38.444444; 2.292750; 3.279342; -2.292750; -3.279342
39.088889; 2.293807; 3.156909; -2.293807; -3.156909
39.733333; 2.275805; 3.015037; -2.275805; -3.015037
40.377778; 2.229376; 2.854540; -2.229376; -2.854540
41.022222; 2.142224; 2.680475; -2.142224; -2.680475
41.666667; 2.000076; 2.506243; -2.000076; -2.506243
42.311111; 1.792188; 2.360109; -1.792188; -2.360109
42.955556; 1.529296; 2.289329; -1.529296; -2.289329
43.600000; 1.274429; 2.336407; -1.274429; -2.336407
43.600000; 1.274429; 2.336407; -1.274429; -2.336407
44.244444; 1.128543; 2.473461; -1.128543; -2.473461
44.888889; 1.165294; 2.598714; -1.165294; -2.598714
45.533333; 1.422966; 2.451024; -1.422966; -2.451024
46.177778; 1.429504; 1.701251; -1.429504; -1.701251
47.466667; 1.904398; 1.690161; -1.904398; -1.690161
48.111111; 2.027592; 2.178211; -2.027592; -2.178211
48.755556; 2.149912; 2.424468; -2.149912; -2.424468
49.400000; 2.552493; 2.536009; -2.552493; -2.536009
49.400000; 2.552493; 2.536009; -2.552493; -2.536009
50.044444; 3.416256; 2.079299; -3.416256; -2.079299
50.688889; 4.168418; 1.124653; -4.168418; -1.124653
51.333333; 4.723092; 0.069144; -4.723092; -0.069144
51.977778; 5.130491; -0.928660; -5.130491; 0.928660
52.622222; 5.436733; -1.828226; -5.436733; 1.828226
53.266667; 5.681525; -2.632387; -5.681525; 2.632387
53.911111; 5.896063; -3.357257; -5.896063; 3.357257
57.777778; 7.516432; -6.819904; -7.516432; 6.819904
58.422222; 7.939464; -7.310424; -7.939464; 7.310424
59.066667; 8.422542; -7.780785; -8.422542; 7.780785
59.711111; 8.970904; -8.234883; -8.970904; 8.234883
64.222222; 5.258440; 11.430463; -5.258440; -11.430463
64.866667; 6.899658; 10.764398; -6.899658; -10.764398
65.511111; 12.943867; 8.393163; -12.943867; -8.393163
