radius [cm]; Re(k1); Im(k1); Re(k2); Re(k2)
9.444444; 0.446202; -0.000000; -0.446202; 0.000000
10.088889; 0.457091; -0.000000; -0.457091; 0.000000
11.377778; 0.466582; -0.000000; -0.466582; 0.000000
12.666667; 0.466734; -0.000000; -0.466734; 0.000000
13.955556; 0.461931; -0.000000; -0.461931; 0.000000
15.244444; 0.454395; -0.000000; -0.454395; 0.000000
15.888889; 0.450005; -0.000000; -0.450005; 0.000000
17.177778; 0.440468; -0.000000; -0.440468; 0.000000
18.466667; 0.430330; -0.000000; -0.430330; 0.000000
19.755556; 0.419906; -0.000000; -0.419906; 0.000000
21.044444; 0.409388; -0.000000; -0.409388; 0.000000
21.688889; 0.404131; -0.000000; -0.404131; 0.000000
22.977778; 0.393668; -0.000000; -0.393668; 0.000000
24.266667; 0.383312; -0.000000; -0.383312; 0.000000
25.555556; 0.373091; -0.000000; -0.373091; 0.000000
26.844444; 0.363016; -0.000000; -0.363016; 0.000000
28.133333; 0.353087; -0.000000; -0.353087; 0.000000
28.777778; 0.348176; -0.000000; -0.348176; 0.000000
30.066667; 0.338455; -0.000000; -0.338455; 0.000000
31.355556; 0.328857; -0.000000; -0.328857; 0.000000
32.644444; 0.319370; -0.000000; -0.319370; 0.000000
33.933333; 0.309977; 0.000000; -0.309977; -0.000000
34.577778; 0.305310; 0.000000; -0.305310; -0.000000
35.866667; 0.296027; 0.000000; -0.296027; -0.000000
37.155556; 0.286795; 0.000000; -0.286795; -0.000000
38.444444; 0.277594; 0.000000; -0.277594; -0.000000
39.733333; 0.268405; 0.000000; -0.268405; -0.000000
41.022222; 0.259205; 0.000000; -0.259205; -0.000000
41.666667; 0.254595; 0.000000; -0.254595; -0.000000
42.955556; 0.245338; 0.000000; -0.245338; -0.000000
44.244444; 0.236011; 0.000000; -0.236011; -0.000000
45.533333; 0.226586; 0.000000; -0.226586; -0.000000
46.822222; 0.217032; 0.000000; -0.217032; -0.000000
47.466667; 0.212195; -0.000000; -0.212195; 0.000000
48.755556; 0.202375; -0.000000; -0.202375; 0.000000
50.044444; 0.192324; -0.000000; -0.192324; 0.000000
51.333333; 0.181984; -0.000000; -0.181984; 0.000000
52.622222; 0.171287; -0.000000; -0.171287; 0.000000
53.911111; 0.160145; -0.000000; -0.160145; 0.000000
54.555556; 0.154372; -0.000000; -0.154372; 0.000000
55.844444; 0.142330; 0.000000; -0.142330; -0.000000
57.133333; 0.129456; 0.000000; -0.129456; -0.000000
58.422222; 0.115456; 0.000000; -0.115456; -0.000000
59.711111; 0.099836; 0.000001; -0.099836; -0.000001
60.355556; 0.091156; 0.000001; -0.091156; -0.000001
61.644444; 0.070985; 0.000001; -0.070985; -0.000001
62.933333; 0.042727; 0.000002; -0.042727; -0.000002
64.222222; 0.000003; 0.036518; -0.000003; -0.036518
65.511111; 0.000002; 0.066645; -0.000002; -0.066645
66.800000; 0.000005; 0.086610; -0.000005; -0.086610
