radius [cm]; Re(k1); Im(k1); Re(k2); Re(k2)
9.444444; 2.497485; 2.498079; -2.497485; -2.498079
9.444444; 2.497485; 2.498079; -2.497485; -2.498079
10.088889; 2.604761; 2.576333; -2.604761; -2.576333
10.733333; 2.700437; 2.648961; -2.700437; -2.648961
11.377778; 2.786318; 2.716090; -2.786318; -2.716090
12.022222; 2.863751; 2.777920; -2.863751; -2.777920
12.666667; 2.933764; 2.834672; -2.933764; -2.834672
13.311111; 2.997160; 2.886571; -2.997160; -2.886571
13.955556; 3.054580; 2.933834; -3.054580; -2.933834
14.600000; 3.106547; 2.976666; -3.106547; -2.976666
14.600000; 3.106547; 2.976666; -3.106547; -2.976666
15.244444; 3.153492; 3.015253; -3.153492; -3.015253
15.888889; 3.195774; 3.049771; -3.195774; -3.049771
16.533333; 3.233703; 3.080379; -3.233703; -3.080379
17.177778; 3.267541; 3.107224; -3.267541; -3.107224
17.822222; 3.297517; 3.130438; -3.297517; -3.130438
18.466667; 3.323832; 3.150142; -3.323832; -3.150142
19.111111; 3.346660; 3.166446; -3.346660; -3.166446
19.755556; 3.366157; 3.179449; -3.366157; -3.179449
20.400000; 3.382460; 3.189237; -3.382460; -3.189237
20.400000; 3.382460; 3.189237; -3.382460; -3.189237
21.044444; 3.395689; 3.195888; -3.395689; -3.195888
21.688889; 3.405950; 3.199468; -3.405950; -3.199468
22.333333; 3.413336; 3.200034; -3.413336; -3.200034
22.977778; 3.417927; 3.197632; -3.417927; -3.197632
23.622222; 3.419790; 3.192296; -3.419790; -3.192296
24.266667; 3.418982; 3.184050; -3.418982; -3.184050
24.911111; 3.415547; 3.172908; -3.415547; -3.172908
25.555556; 3.409516; 3.158868; -3.409516; -3.158868
26.200000; 3.400911; 3.141919; -3.400911; -3.141919
26.200000; 3.400911; 3.141919; -3.400911; -3.141919
26.844444; 3.389737; 3.122032; -3.389737; -3.122032
27.488889; 3.375988; 3.099166; -3.375988; -3.099166
28.133333; 3.359645; 3.073264; -3.359645; -3.073264
28.777778; 3.340678; 3.044257; -3.340678; -3.044257
29.422222; 3.319035; 3.012050; -3.319035; -3.012050
30.066667; 3.294640; 2.976522; -3.294640; -2.976522
30.711111; 3.267395; 2.937527; -3.267395; -2.937527
31.355556; 3.237174; 2.894889; -3.237174; -2.894889
32.000000; 3.203817; 2.848392; -3.203817; -2.848392
32.000000; 3.203817; 2.848392; -3.203817; -2.848392
32.644444; 3.167123; 2.797783; -3.167123; -2.797783
33.288889; 3.126843; 2.742753; -3.126843; -2.742753
33.933333; 3.082664; 2.682937; -3.082664; -2.682937
34.577778; 3.034192; 2.617893; -3.034192; -2.617893
35.222222; 2.980927; 2.547087; -2.980927; -2.547087
35.866667; 2.922224; 2.469871; -2.922224; -2.469871
36.511111; 2.857240; 2.385455; -2.857240; -2.385455
37.155556; 2.784849; 2.292862; -2.784849; -2.292862
37.800000; 2.703505; 2.190884; -2.703505; -2.190884
37.800000; 2.703505; 2.190884; -2.703505; -2.190884
38.444444; 2.611027; 2.078015; -2.611027; -2.078015
39.088889; 2.504221; 1.952387; -2.504221; -1.952387
39.733333; 2.378197; 1.811730; -2.378197; -1.811730
40.377778; 2.225089; 1.653480; -2.225089; -1.653480
41.022222; 2.031443; 1.475483; -2.031443; -1.475483
41.666667; 1.772550; 1.278998; -1.772550; -1.278998
42.311111; 1.399410; 1.082098; -1.399410; -1.082098
42.955556; 0.823948; 0.996343; -0.823948; -0.996343
43.600000; 0.262346; 1.350630; -0.262346; -1.350630
43.600000; 0.262346; 1.350630; -0.262346; -1.350630
44.244444; 0.131791; 1.765207; -0.131791; -1.765207
44.888889; 0.150933; 1.992426; -0.150933; -1.992426
45.533333; 0.216787; 2.107183; -0.216787; -2.107183
46.177778; 0.431896; 2.120116; -0.431896; -2.120116
46.822222; 0.516582; 0.747059; -0.516582; -0.747059
47.466667; 0.380931; -2.049155; -0.380931; 2.049155
48.111111; 0.207739; -1.907061; -0.207739; 1.907061
48.755556; 0.162809; -1.565920; -0.162809; 1.565920
49.400000; 0.472382; -0.673545; -0.472382; 0.673545
49.400000; 0.472382; -0.673545; -0.472382; 0.673545
50.044444; 1.763447; -0.638874; -1.763447; 0.638874
50.688889; 2.478746; -1.048386; -2.478746; 1.048386
51.333333; 2.956899; -1.453327; -2.956899; 1.453327
51.977778; 3.328351; -1.819604; -3.328351; 1.819604
52.622222; 3.648937; -2.153062; -3.648937; 2.153062
53.266667; 3.944924; -2.463541; -3.944924; 2.463541
53.911111; 4.230103; -2.759190; -4.230103; 2.759190
54.555556; 4.512634; -3.046224; -4.512634; 3.046224
55.200000; 4.797983; -3.329461; -4.797983; 3.329461
55.200000; 4.797983; -3.329461; -4.797983; 3.329461
55.844444; 5.090308; -3.612814; -5.090308; 3.612814
56.488889; 5.393180; -3.899666; -5.393180; 3.899666
57.133333; 5.710012; -4.193135; -5.710012; 4.193135
57.777778; 6.044353; -4.496290; -6.044353; 4.496290
58.422222; 6.400151; -4.812331; -6.400151; 4.812331
59.066667; 6.782019; -5.144775; -6.782019; 5.144775
59.711111; 7.195568; -5.497668; -7.195568; 5.497668
60.355556; 7.647874; -5.875853; -7.647874; 5.875853
61.000000; 8.148160; -6.285347; -8.148160; 6.285347
61.000000; 8.148160; -6.285347; -8.148160; 6.285347
61.644444; 8.708885; -6.733900; -8.708885; 6.733900
62.288889; 9.347585; -7.231893; -9.347585; 7.231893
62.933333; 10.090168; -7.793845; -10.090168; 7.793845
63.577778; 10.977384; -8.441178; -10.977384; 8.441178
64.222222; 12.078877; -9.207740; -12.078877; 9.207740
64.866667; 13.528630; -10.152345; -13.528630; 10.152345
65.511111; 15.636501; -11.392889; -15.636501; 11.392889
66.155556; 19.406713; -13.232082; -19.406713; 13.232082
66.800000; 33.715625; -17.159834; -33.715625; 17.159834
