# KAMEL FP susceptibility oracle; generated from Markl thesis (5.13)-(5.15), not W2_arr.
# Wolfram NIntegrate working precision: 70 digits; committed values: 34 digits.
# Cases 1-3: finite parallel flow and mphi=-1,0,+1; 4: general complex point;
# 5: near-zero resonance numerator; 6: strong collision; 7: collisionless scaling.
# case kpar T_erg mass nu omega_E Vpar mphi omega_c omega k l x1 x2 Re(Ikl) Im(Ikl)
1 0.6 1. 1. 1. 0.2 0.4 -1 1.1 0.7 0 0 0.6 1.36 0.1398646758452037469735238584320868 0.803447617927279868240472235082642
1 0.6 1. 1. 1. 0.2 0.4 -1 1.1 0.7 2 0 0.6 1.36 0.4611248446171895266532985801210965 0.8785352035215942782821385929902574
1 0.6 1. 1. 1. 0.2 0.4 -1 1.1 0.7 0 2 0.6 1.36 0.4611248446171895266532985801210965 0.8785352035215942782821385929902574
1 0.6 1. 1. 1. 0.2 0.4 -1 1.1 0.7 0 1 0.6 1.36 0.3170265985824618264733207457793968 0.1544812673018343680117370661873218
1 0.6 1. 1. 1. 0.2 0.4 -1 1.1 0.7 2 1 0.6 1.36 1.045216314465629593747476781607819 0.3246797946489470307728474774445835
1 0.6 1. 1. 1. 0.2 0.4 -1 1.1 0.7 2 2 0.6 1.36 1.82802398837384869453953490923675 2.477968058646995925997582251554087
1 0.6 1. 1. 1. 0.2 0.4 -1 1.1 0.7 1 1 0.6 1.36 0.7185936234535801400061936904332995 0.350157539217491234159937350024596
1 0.6 1. 1. 1. 0.2 0.4 -1 1.1 0.7 1 3 0.6 1.36 2.369156979455427079160947371644389 0.7359408678709466030851209488743892
2 0.6 1. 1. 1. 0.2 0.4 0 1.1 0.7 0 0 0.6 0.26 1.208511582165335305212297806950257 2.766757230090777017377503015285048
2 0.6 1. 1. 1. 0.2 0.4 0 1.1 0.7 2 0 0.6 0.26 1.006495842029929561428334854932569 0.6701272225475658492497684267787116
2 0.6 1. 1. 1. 0.2 0.4 0 1.1 0.7 0 2 0.6 0.26 1.006495842029929561428334854932569 0.6701272225475658492497684267787116
2 0.6 1. 1. 1. 0.2 0.4 0 1.1 0.7 0 1 0.6 0.26 0.5236883522716452989253290496784448 -0.4677385336273299591364153600431457
2 0.6 1. 1. 1. 0.2 0.4 0 1.1 0.7 2 1 0.6 0.26 0.4361481982129694766189451038041132 -1.376278203562721465325100348395892
2 0.6 1. 1. 1. 0.2 0.4 0 1.1 0.7 2 2 0.6 0.26 2.482794558496822548743376792308268 0.1305264421444364927240316887019689
2 0.6 1. 1. 1. 0.2 0.4 0 1.1 0.7 1 1 0.6 0.26 0.2269316193177129628676425881939928 -0.2026866979051763156257799893520298
2 0.6 1. 1. 1. 0.2 0.4 0 1.1 0.7 1 3 0.6 0.26 0.1889975525589534398682095449817824 -0.5963872215438459683075434843048864
3 0.6 1. 1. 1. 0.2 0.4 1 1.1 0.7 0 0 0.6 -0.84 0.3535783365377262114073397280376117 -1.084620726581397714204721024215933
3 0.6 1. 1. 1. 0.2 0.4 1 1.1 0.7 2 0 0.6 -0.84 0.9400096220351264856584812548943187 -0.6175394093542340131250459062176569
3 0.6 1. 1. 1. 0.2 0.4 1 1.1 0.7 0 2 0.6 -0.84 0.9400096220351264856584812548943187 -0.6175394093542340131250459062176569
3 0.6 1. 1. 1. 0.2 0.4 1 1.1 0.7 0 1 0.6 -0.84 -0.4950096711528166959702756192526564 -0.1481976494527098667800572327643598
3 0.6 1. 1. 1. 0.2 0.4 1 1.1 0.7 2 1 0.6 -0.84 -1.316013470849177079921873756852046 -0.802111493570739048291602397961947
3 0.6 1. 1. 1. 0.2 0.4 1 1.1 0.7 2 2 0.6 -0.84 3.17927134847341299237662725619611 -1.070399693749593798928212904273351
3 0.6 1. 1. 1. 0.2 0.4 1 1.1 0.7 1 1 0.6 -0.84 0.6930135396139433743583858669537189 0.2074767092337938134920801258701038
3 0.6 1. 1. 1. 0.2 0.4 1 1.1 0.7 1 3 0.6 -0.84 1.842418859188847911890623259592865 1.122956090999034667608243357146726
4 0.6 1. 1. 1. 0 0 0 0 -1.75 0 0 0.6 -1.75 0.05286527559367708087321982786766412 -0.6263017022554388431699162747190108
4 0.6 1. 1. 1. 0 0 0 0 -1.75 2 0 0.6 -1.75 0.182977576551716901741339561351257 -0.7237866540172676353777869169316186
4 0.6 1. 1. 1. 0 0 0 0 -1.75 0 2 0.6 -1.75 0.182977576551716901741339561351257 -0.7237866540172676353777869169316186
4 0.6 1. 1. 1. 0 0 0 0 -1.75 0 1 0.6 -1.75 -0.154190387148224819213557831280687 0.1600466315783632925789224679304481
4 0.6 1. 1. 1. 0 0 0 0 -1.75 2 1 0.6 -1.75 -0.5336845982758409634122403872744995 0.444377740883697269851878507717221
4 0.6 1. 1. 1. 0 0 0 0 -1.75 2 2 0.6 -1.75 0.8159505101650406935325702833552553 -2.185576074703851976088379626299394
4 0.6 1. 1. 1. 0 0 0 0 -1.75 1 1 0.6 -1.75 0.4497219625156557227062103412353371 -0.4668026754368929366885238647971403
4 0.6 1. 1. 1. 0 0 0 0 -1.75 1 3 0.6 -1.75 1.556580078304536143285701129550624 -1.296101744244117037067978980841895
5 0.75 1. 1. 1. 0 0 0 0 1.e-8 0 0 0.75 1.e-8 5.924644544044985648267357299604898 4.085660433046205236750243809563205e-7
5 0.75 1. 1. 1. 0 0 0 0 1.e-8 2 0 0.75 1.e-8 1.777777777777771567651593525854805 8.75492363385775952698273839255135e-8
5 0.75 1. 1. 1. 0 0 0 0 1.e-8 0 2 0.75 1.e-8 1.777777777777771567651593525854805 8.75492363385775952698273839255135e-8
5 0.75 1. 1. 1. 0 0 0 0 1.e-8 0 1 0.75 1.e-8 7.899526058726647531023143066139864e-8 -1.333333333333327885786089271726351
5 0.75 1. 1. 1. 0 0 0 0 1.e-8 2 1 0.75 1.e-8 2.370370370370362090202124701139741e-8 -1.33333333333333216601018215229873
