# KAMEL rho-Phi oracle; Markl thesis (13.1)-(13.73), (14.1)-(14.4); independent Weber/FP integrals.
# Full finite-radius b+/bx include ks^2. The upstream Gaussian moment proves 1-b+-mphi.
# Case 6 has bx=600; case 7 is zero-FLR; case 8 is Debye-only; cases 9-13 record mphi=-2..2.
# Values generated at 70-digit working precision and committed with 34 digits.
# id charge lambdaD vT omegaC nu ks kr krp rg mphi A1 A2 kpar omegaE Vpar omega debye x1 x2 rhoL bplus bcross phaseRe phaseIm I00Re I00Im I20Re I20Im F0 F2 dynamicRe dynamicIm debyeRe debyeIm totalRe totalIm
1 1 2. 1.1 3. 0.8 0.4 0.2 0.2 0.7 0 0.3 -0.2 0.5 0.1 0.25 0.7 1 0.6875 0.59375 0.3666666666666666666666666666666667 0.02688888888888888888888888888888889 0.02688888888888888888888888888888889 1. 0 0.4769623207499516668365775931719617 1.34337632825321339566065283021071 0.7839061781255760478643132032375341 0.3449420361888029943597827445343369 0.9736453643317647842445142523052613 0.9478170693156334195008871827455435 -0.0004178590961293672899336853811358227 -0.0001100163923241111610126729967799579 -0.0198943678864869169711104704215643 0 -0.02031222698261628426104415580270012 -0.0001100163923241111610126729967799579
2 -1 1.5 0.9 -4. 1. 0.3333333333333333333333333333333333 -0.4 0.7 0.8 -1 -0.25 0.4 0.6 -0.2 0.3333333333333333333333333333333333 0.5 0 0.54 -3.5 0.225 0.022078125 0.02043694953387124259549447252480515 -0.9666062290617209856953406799442396 -0.2562662637552586252047982881698298 0.002077683956804036006494684747967483 -0.2924084728658036108361060112168703 0.006934065296765442912170263729614332 -0.3061580468275320945302813238153212 0.009995864093294536935210747909060029 0.01977208197189641732791396010577808 5.047415454043973692153457479209403e-6 1.400166683123637810553028951820593e-6 0 0 5.047415454043973692153457479209403e-6 1.400166683123637810553028951820593e-6
3 1 2.5 1.2 2.5 0.75 0.5 -0.75 0.6666666666666666666666666666666667 0.6 1 0.2 0.3333333333333333333333333333333333 0.4 0.1666666666666666666666666666666667 -0.2 0.75 0 0.64 -2.448888888888888888888888888888889 0.48 0.1736 0.1730664612222714860697226208385838 0.4887944915408868160211973948072708 0.8723989597880581648166673990205585 0.0148238114854477958981925926578536 -0.435814834304506581458537913442345 0.05282503413832141426335510727730936 -0.4907697501249466210393516461114387 0.07301538524579436045614679393210793 0.1339013577618891883343405199639868 0.0000694820099044233620111156542140318 0.0001392248759887814818924784799184243 0 0 0.0000694820099044233620111156542140318 0.0001392248759887814818924784799184243
4 1 1.75 1. 2. 1. 0.25 0.6 -0.8 0.9 2 -0.4 0.5 0.3333333333333333333333333333333333 0.1 0.2 0.6666666666666666666666666666666667 0 0.3333333333333333333333333333333333 -3.5 0.5 0.140625 0.1361998187407017072936212763966931 -0.8840958541814920694768016513522915 0.4673055966057949018049342890624715 0.0007212265367171929539324657251207403 -0.2881669773376818932432168415721195 0.002255439536090886009723836672798034 -0.2931278873860203081135294536674759 0.002017723452994739431459647998928217 0.00577566384872274732347176787834151 -2.150419740868720426700321048562586e-6 1.126951894879956860071538985849193e-6 0 0 -2.150419740868720426700321048562586e-6 1.126951894879956860071538985849193e-6
5 -1 1.8 0.8 -3. 1.2 0.2857142857142857142857142857142857 -0.5 0.8333333333333333333333333333333333 0.4 -2 0.1666666666666666666666666666666667 -0.3 0.5 -0.125 0.25 0.6 0 0.3333333333333333333333333333333333 -4.5 0.2666666666666666666666666666666667 0.03938523557571176618795666414714034 0.03607601350712578529252483017641597 0.3942418351125960285331024428597845 0.9190067330803690282515360107946175 0.0002666613214760912095989950399634674 -0.2234018321923041475564299573377105 0.0008248220506996469140035738560665456 -0.2257837005672125861481190239162597 0.000156418964203493298504921476517882 0.0004631302232632412750048735340668457 1.495045516406575146033182851936704e-8 3.500709274575635256396610564120795e-8 0 0 1.495045516406575146033182851936704e-8 3.500709274575635256396610564120795e-8
6 1 2. 1. 1. 1. 0.1 24.49469330283602469094718087269004 24.49469330283602469094718087269004 0.3333333333333333333333333333333333 0 0.25 0.2 0.5 0 0 0.3333333333333333333333333333333333 0 0.5 0.3333333333333333333333333333333333 1. 600. 600. 1. 0 0.7578298877360103424236057937223274 2.37564007535752074950740987216793 1.169293182961532486178389412097128 0.7329465504735785674569898903710722 0.01629014665630598169061102304622454 0.008141673876517436643251074954017288 -0.00002931872652008470597166766142424933 0.00001238441610829100447778937328371508 0 0 -0.00002931872652008470597166766142424933 0.00001238441610829100447778937328371508
7 1 2. 1. 1.e8 1. 0.3333333333333333333333333333333333 0.4 -0.6 0.5 0 0.3333333333333333333333333333333333 -0.25 0.5 0 0 0.25 1 0.5 0.25 1.e-8 3.711111111111111111111111111111111e-17 3.573841865417711186815181460669049e-17 0.8775825618903727161162815826038297 0.4794255386042030002732879352155714 1.082366905762994932172263587775514 3.042045058014564051046381804906527 1.228546668426184681996684092037351 0.8428781702666359449338590390021461 0.99999999999999996288888888888889 0.999999999999999925777777777777781 -6.606711147386609432971320169072563e-12 -8.397901678580790655353527013053519e-12 -0.01745895033701274825900937419124877 -0.009537868039169149864391913156104389 -0.01745895034361945940639598362422009 -0.009537868047567051542972703811457916
8 -1 3. 1. -5. 1. 0.4 0.3333333333333333333333333333333333 -0.25 0.75 0 0 0 0.5 0 0 0.3333333333333333333333333333333333 1 0.5 0.3333333333333333333333333333333333 0.2 0.009872222222222222222222222222222222 0.009824233077220610992864928663855168 0.9058136834259364207445166606527002 0.4236762572039380103616839880311025 0.7578298877360103424236057937223274 2.37564007535752074950740987216793 1.169293182961532486178389412097128 0.7329465504735785674569898903710722 0.9902002401987167834328944214018998 0.9804725476696356878873796996807079 0 0 -0.00800915140208416713042740975492236 -0.003746120589148886962650392576170468 -0.00800915140208416713042740975492236 -0.003746120589148886962650392576170468
9 1 2. 1. 5. 0.5 0.15 0.8 -0.5 0.55 -2 0.2 -0.1666666666666666666666666666666667 0.25 0.1 0.2 0.6 0 0.5 20.9 0.2 0.0187 0.0169955876626846887032793677040316 0.9716675638238312370428044040637474 -0.2363517408708064698861197740969023 1.311762434073074816495327966437032e-6 0.04787425850143288323013032578022972 3.953075520801203478061608872986528e-6 0.04792908738307940406756942566656722 0.00003543818996847633211279510916319949 0.0001056535817962807876375553015996531 7.483725232672084528061297431773954e-10 -1.820679875767347984781833965519952e-10 0 0 7.483725232672084528061297431773954e-10 -1.820679875767347984781833965519952e-10
10 1 2. 1. 5. 0.5 0.15 0.8 -0.5 0.55 -1 0.2 -0.1666666666666666666666666666666667 0.25 0.1 0.2 0.6 0 0.5 10.9 0.2 0.0187 0.0169955876626846887032793677040316 -0.9717653852472468488004535641904121 -0.2359492234258674488796405567793635 0.00001778699334156899338252558591527229 0.09193575400971078093503566930381928 0.00005421589225719964755627780385339402 0.09232324848464393967782959549298052 0.008340662807935853625112714843862475 0.01652595751422752290008315323905084 -1.902839687412108709961870079521953e-7 -4.613182649408617525486807342356357e-8 0 0 -1.902839687412108709961870079521953e-7 -4.613182649408617525486807342356357e-8
11 1 2. 1. 5. 0.5 0.15 0.8 -0.5 0.55 0 0.2 -0.1666666666666666666666666666666667 0.25 0.1 0.2 0.6 0 0.5 0.9 0.2 0.0187 0.0169955876626846887032793677040316 0.7550932412115528473007442832390617 0.655617416697140275668825905436999 0.2690284498695408509328378171555757 1.126581811092725591534733630462194 0.8159576576435002274973534579201671 1.018627487470777979930753104457581 0.9815446361623944909477242149063205 0.9633315059320748815941626317668765 0.00008349620193227154873549819076117614 -0.00001780412501276963834263734267993515 0 0 0.00008349620193227154873549819076117614 -0.00001780412501276963834263734267993515
